       172      0.00   2424.60 h2o      total
lambda=1.a-100.a  barfield, w. d., koontz, g. d. and huebner w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
   (cross section of h2o = cross section of atomic o)
lambda=180.a-720.a  phillips, e., lee, l. c. and judge, d. l. (1977)
   j. quant. spectrosc. radiat. transfer 18, 309
lambda=600.a-690.a  dibler, v. h., walker, j. a. and rosenstock, h. m. (1966)
   j. res. nbs-a. phys. chem. 70, 459
lambda=700.a-980.8a  katayama, d. h., huffman, r. e. and o'bryan, c. l. (1973)
   j. chem. phys. 59, 4309
lambda=850.a-1110.a  watanabe, k. and jursa, a. s. (1964)
   j. chem. phys. 41, 1650
lambda=1060.a-1860.a  watanabe, k. and zelikoff, m. (1953)
   j. opt. soc. am. 43, 753

   2424.60  0.00e 00
        15      0.00    684.40 h2o      ohih     21 40
lambda=304.a-690.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      0.00  2.50e-01
    304.0   1.84e-01
    354.0   1.89e-01
    374.0   1.92e-01
    413.0   1.94e-01
    446.0   2.14e-01
    460.0   2.19e-01
    496.0   2.10e-01
    537.0   2.10e-01
    584.0   2.28e-01
    620.0   2.04e-01
    663.0   1.28e-01
    584.4   2.35e-02
    690.0   0.00
   2424.6   0.00
        13      0.00    664.80 h2o      oih2     22 40
lambda=304.a-690.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      0.00  2.00e-01
    304.0   1.63e-02
    354.0   1.02e-02
    374.0   7.63e-03
    413.0   3.37e-03
    446.0   1.93e-03
    460.0   1.67e-03
    496.0   1.50e-03
    537.0   1.24e-03
    584.0   8.18e-04
    620.0   4.09e-04
    665.0   0.00
   2424.60  0.00
        13      0.00    662.30 h2o      hioh     23 40
lambda=304.a-690.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      0.00  2.00e-01
    304.0   4.37e-02
    354.0   2.98e-02
    374.0   2.63e-02
    413.0   2.95e-02
    446.0   3.08e-02
    460.0   3.18e-02
    496.0   3.43e-02
    537.0   3.59e-02
    584.0   3.93e-02
    620.0   2.84e-02
    663.0   0.00
   1860.0   0.00
         0      0.00    984.00 h2o      h2oi     20  2
***
