       254      0.00   3990.   ocs      total
 cross section:
 lambda=1.-122.a  combination of atomic cross sections
    barfield et al.
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1240.a  lee, l. c. and chiang, c. c. (1982)
    chem. phys. lett. 92, 425
 lambda=1240.-1700.a  matsunaga, f. m. and watanabe, k. (1967)
    j. chem. phys. 46, 4457
 lambda=1850.-3000.a  molina, l. t., lamb, j. j. and molina, m. j. (1981)
    geophys. res. lett. 8, 1008

 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  1.70e-01
    248.00  1.66e-01
    253.00  1.58e-01
    258.00  1.60e-01
    264.00  1.63e-01
    270.00  1.52e-01
    276.00  1.56e-01
    282.00  1.55e-01
    288.00  1.61e-01
    295.00  1.63e-01
    302.00  1.50e-01
    310.00  1.43e-01
    318.00  1.46e-01
    326.00  1.40e-01
    335.00  1.27e-01
    344.00  1.22e-01
    354.00  1.14e-01
    365.00  1.16e-01
    376.00  1.15e-01
    387.00  1.13e-01
    400.00  1.09e-01
    413.00  1.15e-01
    428.00  1.10e-01
    443.00  1.04e-01
    459.00  1.11e-01
    477.00  1.03e-01
    496.00  1.03e-01
    517.00  9.55e-02
    539.00  9.10e-02
    564.00  7.50e-02
    590.00  5.72e-02
    620.00  3.61e-02
    653.00  1.78e-02
    689.00  6.99e-03
    704.00  0.00e 00
   3990.00  0.00e 00
        40      0.00    907.   ocs      sico        40
 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  6.00e-01
    248.00  6.20e-01
    253.00  6.31e-01
    258.00  6.18e-01
    264.00  6.24e-01
    270.00  6.33e-01
    276.00  6.35e-01
    282.00  6.30e-01
    288.00  6.33e-01
    295.00  6.38e-01
    302.00  6.40e-01
    310.00  6.32e-01
    318.00  6.39e-01
    326.00  6.36e-01
    335.00  6.45e-01
    344.00  6.53e-01
    354.00  6.56e-01
    365.00  6.58e-01
    376.00  6.45e-01
    387.00  6.53e-01
    400.00  6.58e-01
    413.00  6.52e-01
    428.00  6.53e-01
    443.00  6.54e-01
    459.00  6.48e-01
    477.00  6.36e-01
    496.00  6.28e-01
    517.00  6.18e-01
    539.00  6.11e-01
    564.00  6.05e-01
    590.00  5.92e-01
    620.00  5.86e-01
    653.00  5.96e-01
    689.00  5.78e-01
    729.00  5.31e-01
    775.00  3.61e-01
    827.00  1.23e-01
    886.00  2.47e-02
    907.00  0.00e 00
   3990.00  0.00e 00
        34      0.00    654.   ocs      csio        40
 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  2.00e-02
    248.00  2.13e-02
    253.00  2.70e-02
    258.00  2.20e-02
    264.00  2.00e-02
    270.00  1.78e-02
    276.00  2.07e-02
    282.00  1.90e-02
    288.00  2.00e-02
    295.00  2.21e-02
    302.00  2.25e-02
    310.00  2.78e-02
    318.00  2.65e-02
    326.00  2.81e-02
    335.00  3.04e-02
    344.00  3.13e-02
    354.00  2.92e-02
    365.00  3.42e-02
    376.00  3.35e-02
    387.00  3.26e-02
    400.00  3.20e-02
    413.00  3.50e-02
    428.00  3.30e-02
    443.00  3.00e-02
    459.00  2.70e-02
    477.00  2.70e-02
    496.00  1.58e-02
    517.00  1.09e-02
    539.00  1.20e-02
    564.00  1.00e-02
    590.00  2.80e-02
    620.00  4.90e-03
    654.00  0.00e 00
   3990.00  0.00e 00
        43      0.00   1120.   ocs      cosi         2
 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  1.45e-01
    248.00  1.29e-01
    253.00  1.23e-01
    258.00  1.40e-01
    264.00  1.36e-01
    270.00  1.34e-01
    276.00  1.37e-01
    282.00  1.37e-01
    288.00  1.32e-01
    295.00  1.31e-01
    302.00  1.39e-01
    310.00  1.43e-01
    318.00  1.37e-01
    326.00  1.49e-01
    335.00  1.51e-01
    344.00  1.47e-01
    354.00  1.57e-01
    365.00  1.51e-01
    376.00  1.66e-01
    387.00  1.63e-01
    400.00  1.72e-01
    413.00  1.76e-01
    428.00  1.91e-01
    443.00  2.02e-01
    459.00  2.09e-01
    477.00  2.31e-01
    496.00  2.49e-01
    517.00  2.72e-01
    539.00  2.83e-01
    564.00  3.07e-01
    590.00  3.20e-01
    620.00  3.72e-01
    653.00  3.86e-01
    689.00  4.15e-01
    729.00  4.69e-01
    775.00  6.39e-01
    827.00  8.77e-01
    886.00  9.75e-01
    954.00  1.00e 00
   1060.00  9.00e-01
   1120.00  9.00e-01
   1121.00  0.00e 00
   3990.00  0.00e 00
        15      0.00   2120.00 ocs      cods1s      26
 branching ratios:
 lambda=1100.-1700.a black,g.,sharpless,r.l.,slanger,t.g.,
    and lorents,d.c.(1975)
    j.chem.phys 62,4274

      0.60  0.00e 00
    954.00  0.00e 00
   1100.00  1.00e-01
   1120.00  1.00e-01
   1200.00  2.00e-01
   1300.00  1.00e-01
   1400.00  1.00e-01
   1410.00  8.00e-01
   1600.00  1.00e 00
   1610.00  7.00e-01
   1620.00  5.00e-01
   1650.00  2.50e-01
   1700.00  2.00e-01
   2120.00  0.00e 00
   3990.00  0.00e 00
         5      0.00   1820.   ocs      csdo        26
 branching ratios:
 black,g.,sharpless,r.l.,slanger,t.g., and lorents, d.c. (1975)
    j.chem.phys 62,4274
 okabe, h. (1978)
 photochemistry of small molecules.

      0.60  0.00e 00
   1700.00  0.00e 00
   1820.00  1.00e-01
   1821.00  0.00e 00
   3990.00  0.00e 00
        12      0.00   2910.00 ocs      cods1d      26
 branching ratios:
 lambda=1600.-1820.a black,g.,sharpless,r.l.,slanger,t.g.,
    and lorents,d.c.(1975)
    j.chem.phys 62,4274
 lamda=2288.-2537.a okabe, h. (1978)
 photochemistry of small molecules.

      0.60  0.00e 00
   1600.00  0.00e 00
   1610.00  3.00e-01
   1620.00  5.00e-01
   1650.00  7.50e-01
   1700.00  8.00e-01
   1820.00  7.00e-01
   2288.00  6.70e-01
   2537.00  7.40e-01
   2910.00  5.00e-01
   2910.10  0.00e 00
   3990.00  0.00e 00
         8      0.00   1410.00 ocs      csdo1d      26
 branching ratios:
 lambda=1100.-1410.a black,g.,sharpless,r.l.,slanger,t.g.,
    and lorents,d.c.(1975)
    j.chem.phys 62,4274

      0.60  0.00e 00
   1120.00  0.00e 00
   1200.00  8.00e-01
   1300.00  9.00e-01
   1400.00  9.00e-01
   1410.00  2.00e-01
   1410.10  0.00e 00
   3990.00  0.00e 00
         0      0.00   3990.00 ocs      cods        26
***
