       361      1.00   1117.80 co       total
cross section:
lambda=2.a-72.5a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds. gordon breach science
publishers.
   inc., new york, london, paris
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-1037.6a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=600.a-1002.5a  cook, g. r., metzger, p. h. and ogawa, m. (1965)
   can. j. phys. 43, 1706
threshold:
lambda=1117.8a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (dissociation wavelength)

    910.30  1.71e-17
    912.20  2.87e-17
    913.50  6.44e-17
    915.00  1.86e-17
    915.60  4.35e-17
    916.50  1.49e-17
    917.50  6.62e-17
    921.20  1.71e-17
    922.00  6.17e-18
    922.50  2.73e-17
    923.10  2.49e-17
    923.50  2.85e-17
    923.70  1.37e-17
    924.20  3.63e-17
    924.30  9.40e-18
    924.80  3.46e-17
    927.20  1.25e-17
    929.00  2.00e-17
    930.50  3.35e-17
    935.00  2.15e-17
    935.90  2.92e-17
    937.30  1.56e-17
    944.00  1.20e-17
    947.20  1.67e-17
    948.20  3.50e-17
    948.60  3.70e-17
    953.50  5.58e-18
    959.20  4.91e-18
    961.00  2.79e-17
    963.00  4.09e-18
    965.00  2.94e-17
    966.50  1.09e-17
    971.20  3.54e-18
    972.50  3.52e-18
    977.00  2.80e-19
    977.50  2.57e-17
    979.00  2.03e-17
    983.00  4.47e-18
    989.80  2.45e-18
    991.50  1.20e-18
    995.80  2.03e-18
   1025.70  1.50e-20
   1037.60  1.50e-20
   1038.00  1.00e-35
   1117.80  1.00e-35
  4
       281      0.00    884.79 co       coi      15  2
branching ratios:
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-835.29a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
   (branching ratio for ionization)
lambda=304.a-584.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22, 283
   (branching ratio for dissociative ionization)
threshold:
lambda=884.79a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (ionization threshold)
lambda=1026.8a  watanabe, k. (1957)
   j. chem. phys. 26, 542
   (ionization threshold)

      1.00  0.00e+00
     89.60  3.90e-01
     99.50  4.10e-01
    109.40  4.20e-01
    119.30  4.30e-01
    129.20  4.40e-01
    139.20  4.60e-01
    149.20  4.70e-01
    159.00  4.90e-01
    168.90  5.10e-01
    178.80  5.20e-01
    188.70  5.40e-01
    198.60  5.40e-01
    208.50  5.50e-01
    218.40  5.70e-01
    228.40  5.80e-01
    238.30  5.90e-01
    248.20  6.10e-01
    258.00  6.40e-01
    268.00  6.70e-01
    277.90  7.10e-01
    287.80  7.30e-01
    297.70  7.60e-01
    307.60  7.84e-01
    329.00  8.50e-01
    337.30  8.70e-01
    351.40  8.97e-01
    363.00  9.10e-01
    374.70  9.20e-01
