      2579      0.00   2423.70 O2       Total
Lambda = 1.-295 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409
   (two times cross section for atomic oxygen)
Lambda = 9.9-247.2 A
   Bortner, M. H., Baurer, T. (1978)
   Defense Nuclear Agency Reaction Rate Handbook, DNA 1948h, 2nd ed., rev. Nr. 7
Lambda = 41.33-1771.2 A
   Brion, C. E., Tan, K. H. (1979)
   J. Electron Spectr. Related Phenom. 17, 101
Lambda = 209.3-1037.6 A
   Samson, J. A. R., Cairns, R. B. (1964, 1965)
   J. Geophys. Res. 69, 4583
   J. Opt. Soc. Am. 55, 1035
Lambda = 600-912 A
   Cook, G. R., Metzger, P. H. (1964)
   J. Chem. Phys. 41, 321
Lambda = 580-1077 A
   Matsunaga, F. M., Watanabe, K. (1967)
   Science of Light 16, 31
Lambda = 1062-1751 A
   Watanabe, K. (1958)
   Adv. Geophys. 5, 153
Lambda = 1163-2000 A
   Ackerman, M. (1971)
   Ultraviolet Solar Radiation Related to Mesospheric Processes, in
   Mesospheric Models and Related Experiments, G. Fiocco (ed.), Proc.
   4th ESRIN-ESLAB Symp., Frascati, Italy (Reidel Dordrecht-Holland)
Lambda = 1163-2000 A
   Ackerman, M., Biaume, F., Kockarts, G. (1970)
   Planet. Space Sci. 18, 1639
Lambda = 140.3-1740.0 A
   Gibson, S. T., Gies, H. P. F., Blake, A. J., Mccoy, D. G., Rogers, P. J. (1983)
   J. Quant. Spectr. Rad. Trans. 30, 385
Lambda = 2000-2200 A
   Herman, J. R., Mentall, J. E. (1982)
   J. Geophys. Res. 87, 8967
Lambda = 2250-2423.7 A
   Shardanand, Rao, A. D. P. (1976)
   J. Quant. Spectr. Rad. Trans. 17, 433
Threshold (dissociation):
Lambda = 2423.7 A
   Huber, K.-P., Herzberg, G. (1979)
   Molecular Spectra & Molecular Structure, Vol. 4, Van Nostrand Reinhold, New York
Lambda = 1792.3-1998.0 A
   (1,0) - (12,0) Schumann-Runge bands
   Yoshino, K., Freeman, D. E., Esmond, J. R., Parkinson, W. H. (1982?)
   Plan. Space Sci.   ,   
   1910.10  1.18E-22
   1910.20  2.12E-22
   1910.30  2.54E-22
   1910.40  2.05E-22
   1910.50  2.07E-22
   1910.60  1.13E-22
   1910.70  1.27E-22
   1910.80  1.21E-22
   1910.90  1.97E-22
   1911.00  4.75E-22
   1911.10  1.93E-21
   1911.20  4.59E-21
   1911.30  2.07E-21
   1911.40  4.24E-22
   1911.50  1.87E-22
   1911.60  1.21E-22
   1911.70  7.89E-23
   1911.80  7.65E-23
   1911.90  5.59E-23
   1912.00  5.23E-23
   1912.10  6.05E-23
   1912.20  6.40E-23
   1912.30  1.65E-22
   1912.40  1.52E-22
   1912.50  9.36E-23
   1912.60  1.30E-22
   1912.70  7.94E-23
   1912.80  8.52E-23
   1912.90  1.32E-22
   1913.00  2.97E-22
   1913.10  1.42E-21
   1913.20  2.99E-21
   1913.30  1.42E-21
   1913.40  2.78E-22
   1913.50  1.30E-22
   1913.60  7.11E-23
   1913.70  6.89E-23
   1913.80  4.03E-23
   1913.90  4.15E-23
   1914.00  4.66E-23
   1914.10  3.46E-23
   1914.20  4.11E-23
   1914.30  4.76E-23
   1914.40  3.71E-23
   1914.50  2.28E-23
   1914.60  6.45E-23
   1914.70  1.10E-22
   1914.80  5.90E-23
   1914.90  6.73E-23
   1915.00  8.54E-23
   1915.10  7.84E-23
   1915.20  1.42E-22
   1915.30  7.38E-22
   1915.40  1.62E-21
   1915.50  1.00E-21
   1915.60  1.87E-22
   1915.70  9.57E-23
   1915.80  5.04E-23
   1915.90  3.87E-23
   1916.00  2.74E-23
   1916.10  2.89E-23
   1916.20  2.24E-23
   1916.30  2.86E-23
   1916.40  2.39E-23
   1916.50  2.92E-23
   1916.60  3.52E-23
   1916.70  2.52E-23
   1916.80  4.17E-23
   1916.90  4.68E-23
   1917.00  3.96E-23
   1917.10  3.57E-23
   1917.20  5.85E-23
   1917.30  7.84E-23
   1917.40  4.51E-23
   1917.50  6.67E-23
   1917.60  8.89E-23
   1917.70  3.39E-22
   1917.80  8.35E-22
   1917.90  7.95E-22
   1918.00  1.35E-22
   1918.10  6.19E-23
   1918.20  4.12E-23
   1918.30  3.59E-23
   1918.40  3.56E-23
   1918.50  3.24E-23
   1918.60  3.17E-23
   1918.70  2.63E-23
   1918.80  2.28E-23
   1918.90  2.65E-23
   1919.00  2.71E-23
   1919.10  3.10E-23
   1919.20  4.69E-23
   1919.30  1.80E-22
   1919.40  2.04E-22
   1919.50  3.66E-22
   1919.60  1.58E-22
   1919.70  1.12E-22
   1919.80  3.01E-22
   1919.90  4.30E-22
   1920.00  1.15E-22
   1920.10  9.70E-23
   1920.20  8.25E-23
   1920.30  1.64E-22
   1920.40  8.59E-22
   1920.50  1.04E-21
   1920.60  2.26E-22
   1920.70  8.62E-23
   1920.80  6.18E-23
   1920.90  5.13E-23
   1921.00  5.42E-23
   1921.10  9.75E-23
   1921.20  5.11E-22
   1921.30  5.63E-22
   1921.40  1.16E-22
   1921.50  5.70E-23
   1921.60  5.00E-23
   1921.70  3.42E-23
   1921.80  4.06E-23
   1921.90  5.00E-23
   1922.00  6.37E-23
   1922.10  6.60E-23
   1922.20  3.87E-22
   1922.30  6.66E-22
   1922.40  1.39E-22
   1922.50  5.22E-23
   1922.60  5.27E-23
   1922.70  4.87E-23
   1922.80  4.49E-23
   1922.90  4.69E-23
   1923.00  7.60E-23
   1923.10  8.89E-23
   1923.20  1.25E-22
   1923.30  2.83E-22
   1923.40  4.16E-22
   1923.50  6.50E-22
   1923.60  3.88E-22
   1923.70  1.57E-22
   1923.80  1.77E-22
   1923.90  2.95E-22
   1924.00  4.71E-22
   1924.10  1.16E-21
   1924.20  2.08E-21
   1924.30  2.67E-21
   1924.40  1.37E-21
   1924.50  1.33E-21
   1924.60  3.14E-21
   1924.70  3.17E-21
   1924.80  1.20E-21
   1924.90  1.10E-21
   1925.00  1.16E-21
   1925.10  2.00E-21
   1925.20  4.36E-21
   1925.30  2.67E-21
   1925.40  9.54E-22
   1925.50  5.48E-22
   1925.60  4.69E-22
   1925.70  5.69E-22
   1925.80  1.26E-21
   1925.90  3.38E-21
   1926.00  4.11E-21
   1926.10  2.02E-21
   1926.20  7.27E-22
   1926.30  4.70E-22
   1926.40  4.71E-22
   1926.50  4.60E-22
   1926.60  7.35E-22
   1926.70  8.11E-22
   1926.80  1.91E-21
   1926.90  3.50E-21
   1927.00  3.22E-21
   1927.10  1.30E-21
   1927.20  4.99E-22
   1927.30  2.97E-22
   1927.40  2.32E-22
   1927.50  2.06E-22
   1927.60  2.13E-22
   1927.70  2.47E-22
   1927.80  3.70E-22
   1927.90  8.34E-22
   1928.00  2.14E-21
   1928.10  2.70E-21
   1928.20  2.27E-21
   1928.30  7.83E-22
   1928.40  4.71E-22
   1928.50  4.08E-22
   1928.60  2.25E-22
   1928.70  1.31E-22
   1928.80  1.19E-22
   1928.90  1.18E-22
   1929.00  1.26E-22
   1929.10  1.69E-22
   1929.20  3.37E-22
   1929.30  9.17E-22
   1929.40  1.82E-21
   1929.50  2.02E-21
   1929.60  1.57E-21
   1929.70  5.58E-22
   1929.80  2.37E-22
   1929.90  1.37E-22
   1930.00  9.10E-23
   1930.10  8.32E-23
   1930.20  7.56E-23
   1930.30  6.15E-23
   1930.40  7.61E-23
   1930.50  1.50E-22
   1930.60  1.90E-22
   1930.70  1.81E-22
   1930.80  3.15E-22
   1930.90  8.32E-22
   1931.00  1.22E-21
   1931.10  1.42E-21
   1931.20  1.01E-21
   1931.30  3.15E-22
   1931.40  1.48E-22
   1931.50  8.09E-23
   1931.60  7.05E-23
   1931.70  6.96E-23
   1931.80  5.35E-23
   1931.90  4.29E-23
   1932.00  3.93E-23
   1932.10  4.66E-23
   1932.20  4.19E-23
   1932.30  5.16E-23
   1932.40  6.92E-23
   1932.50  1.12E-22
   1932.60  2.22E-22
   1932.70  6.47E-22
   1932.80  7.70E-22
   1932.90  1.07E-21
   1933.00  7.00E-22
   1933.10  2.24E-22
   1933.20  1.13E-22
   1933.30  7.63E-23
   1933.40  4.74E-23
   1933.50  3.72E-23
   1933.60  4.40E-23
   1933.70  3.71E-23
   1933.80  3.16E-23
   1933.90  4.51E-23
   1934.00  4.98E-23
   1934.10  4.16E-23
   1934.20  2.91E-23
   1934.30  4.29E-23
   1934.40  5.75E-23
   1934.50  6.91E-23
   1934.60  1.70E-22
   1934.70  4.24E-22
   1934.80  4.25E-22
   1934.90  6.56E-22
   1935.00  4.11E-22
   1935.10  1.33E-22
   1935.20  6.21E-23
   1935.30  4.99E-23
   1935.40  6.03E-23
   1935.50  3.87E-23
   1935.60  2.73E-23
   1935.70  2.92E-23
   1935.80  2.58E-23
   1935.90  2.55E-23
   1936.00  2.40E-23
   1936.10  2.43E-23
   1936.20  2.90E-23
   1936.30  3.17E-23
   1936.40  2.48E-23
   1936.50  3.20E-23
   1936.60  3.77E-23
   1936.70  4.94E-23
   1936.80  1.25E-22
   1936.90  2.65E-22
   1937.00  2.20E-22
   1937.10  3.61E-22
   1937.20  2.66E-22
   1937.30  8.07E-23
   1937.40  4.36E-23
   1937.50  3.30E-23
   1937.60  1.81E-23
   1937.70  2.17E-23
   1937.80  2.61E-23
   1937.90  2.50E-23
   1938.00  2.04E-23
   1938.10  2.71E-23
   1938.20  3.03E-23
   1938.30  2.27E-23
   1938.40  2.34E-23
   1938.50  2.45E-23
   1938.60  2.22E-23
   1938.70  2.41E-23
   1938.80  2.16E-23
   1938.90  2.51E-23
   1939.00  2.89E-23
   1939.10  5.19E-23
   1939.20  1.44E-22
   1939.30  2.77E-22
   1939.40  2.30E-22
   1939.50  2.03E-22
   1939.60  2.39E-22
   1939.70  3.61E-22
   1939.80  1.20E-22
   1939.90  3.62E-23
   1940.00  2.82E-23
   1940.10  4.11E-23
   1940.20  9.19E-23
   1940.30  3.89E-22
   1940.40  6.70E-23
   1940.50  3.19E-23
   1940.60  2.33E-23
   1940.70  2.10E-23
   1940.80  2.17E-23
   1940.90  2.78E-23
   1941.00  9.51E-23
   1941.10  4.35E-22
   1941.20  7.91E-23
   1941.30  4.14E-23
   1941.40  3.62E-23
   1941.50  3.12E-23
   1941.60  2.93E-23
   1941.70  3.99E-23
   1941.80  4.36E-23
   1941.90  8.60E-23
   1942.00  1.38E-22
   1942.10  4.52E-22
   1942.20  1.88E-22
   1942.30  7.00E-23
   1942.40  3.61E-23
   1942.50  2.64E-23
   1942.60  2.98E-23
   1942.70  2.48E-23
   1942.80  2.90E-23
   1942.90  2.75E-23
   1943.00  2.65E-23
   1943.10  2.81E-23
   1943.20  5.63E-23
   1943.30  2.93E-22
   1943.40  1.10E-22
   1943.50  2.92E-23
   1943.60  2.64E-23
   1943.70  2.73E-23
   1943.80  1.84E-23
   1943.90  2.34E-23
   1944.00  1.79E-23
   1944.10  2.64E-23
   1944.20  2.84E-23
   1944.30  2.99E-23
   1944.40  2.40E-23
   1944.50  2.61E-23
   1944.60  3.55E-23
   1944.70  1.70E-22
   1944.80  2.30E-22
   1944.90  4.98E-23
   1945.00  5.83E-23
   1945.10  5.31E-23
   1945.20  2.79E-23
   1945.30  3.03E-23
   1945.40  2.48E-23
   1945.50  2.57E-23
   1945.60  2.24E-23
   1945.70  2.46E-23
   1945.80  2.89E-23
   1945.90  2.52E-23
   1946.00  2.12E-23
   1946.10  2.40E-23
   1946.20  2.89E-23
   1946.30  5.34E-23
   1946.40  1.83E-22
   1946.50  6.41E-23
   1946.60  3.38E-23
   1946.70  2.33E-23
   1946.80  3.11E-23
   1946.90  3.51E-23
   1947.00  4.40E-23
   1947.10  5.85E-23
   1947.20  3.24E-22
   1947.30  6.75E-22
   1947.40  1.09E-21
   1947.50  2.95E-22
   1947.60  2.36E-22
   1947.70  1.22E-21
   1947.80  9.69E-22
   1947.90  2.25E-22
   1948.00  1.29E-22
   1948.10  1.79E-22
   1948.20  8.42E-22
   1948.30  1.56E-21
   1948.40  8.53E-22
   1948.50  1.59E-22
   1948.60  7.93E-23
   1948.70  6.85E-23
   1948.80  8.77E-23
   1948.90  2.89E-22
   1949.00  1.38E-21
   1949.10  1.15E-21
   1949.20  6.83E-22
   1949.30  1.06E-22
   1949.40  5.54E-23
   1949.50  5.45E-23
   1949.60  4.82E-23
   1949.70  5.51E-23
   1949.80  1.24E-22
   1949.90  8.14E-22
   1950.00  8.99E-22
   1950.10  1.15E-21
   1950.20  4.23E-22
   1950.30  1.41E-22
   1950.40  7.50E-23
   1950.50  4.40E-23
   1950.60  2.78E-23
   1950.70  3.35E-23
   1950.80  4.09E-23
   1950.90  6.30E-23
   1951.00  2.02E-22
   1951.10  9.31E-22
   1951.20  4.43E-22
   1951.30  1.07E-21
   1951.40  1.94E-22
   1951.50  6.92E-23
   1951.60  4.14E-23
   1951.70  3.06E-23
   1951.80  2.02E-23
   1951.90  2.75E-23
   1952.00  2.90E-23
   1952.10  2.82E-23
   1952.20  2.64E-23
   1952.30  6.51E-23
   1952.40  3.48E-22
   1952.50  6.48E-22
   1952.60  2.94E-22
   1952.70  8.72E-22
   1952.80  1.58E-22
   1952.90  3.73E-23
   1953.00  3.42E-23
   1953.10  2.38E-23
   1953.20  2.15E-23
   1953.30  2.29E-23
   1953.40  2.59E-23
   1953.50  1.97E-23
   1953.60  2.57E-23
   1953.70  2.75E-23
   1953.80  2.66E-23
   1953.90  8.18E-23
   1954.00  4.34E-22
   1954.10  2.51E-22
   1954.20  2.18E-22
   1954.30  6.15E-22
   1954.40  9.76E-23
   1954.50  3.41E-23
   1954.60  3.33E-23
   1954.70  2.54E-23
   1954.80  2.37E-23
   1954.90  1.86E-23
   1955.00  2.22E-23
   1955.10  3.00E-23
   1955.20  3.13E-23
   1955.30  3.36E-23
   1955.40  2.73E-23
   1955.50  3.20E-23
   1955.60  3.90E-23
   1955.70  9.53E-23
   1955.80  3.13E-22
   1955.90  9.13E-23
   1956.00  1.85E-22
   1956.10  4.57E-22
   1956.20  7.67E-23
   1956.30  3.20E-23
   1956.40  2.85E-23
   1956.50  2.37E-23
   1956.60  2.86E-23
   1956.70  2.42E-23
   1956.80  3.04E-23
   1956.90  2.76E-23
   1957.00  2.73E-23
   1957.10  2.02E-23
   1957.20  2.18E-23
   1957.30  3.13E-23
   1957.40  2.15E-23
   1957.50  3.33E-23
   1957.60  3.25E-23
   1957.70  8.09E-23
   1957.80  1.66E-22
   1957.90  5.43E-23
   1958.00  7.44E-23
   1958.10  2.86E-22
   1958.20  1.06E-22
   1958.30  2.51E-23
   1958.40  2.11E-23
   1958.50  1.75E-23
   1958.60  2.03E-23
   1958.70  2.14E-23
   1958.80  1.46E-23
   1958.90  1.52E-23
   1959.00  1.64E-23
   1959.10  1.79E-23
   1959.20  1.65E-23
   1959.30  1.77E-23
   1959.40  1.82E-23
   1959.50  1.99E-23
   1959.60  1.62E-23
   1959.70  1.90E-23
   1959.80  2.58E-23
   1959.90  4.68E-23
   1960.00  9.93E-23
   1960.10  3.46E-23
   1960.20  4.60E-23
   1960.30  1.74E-22
   1960.40  8.43E-23
   1960.50  5.18E-23
   1960.60  6.60E-23
   1960.70  8.73E-23
   1960.80  2.98E-23
   1960.90  3.41E-23
   1961.00  9.41E-23
   1961.10  1.08E-22
   1961.20  2.74E-23
   1961.30  2.13E-23
   1961.40  2.11E-23
   1961.50  2.40E-23
   1961.60  1.24E-22
   1961.70  9.58E-23
   1961.80  2.45E-23
   1961.90  2.00E-23
   1962.00  1.85E-23
   1962.10  1.98E-23
   1962.20  2.32E-23
   1962.30  6.19E-23
   1962.40  2.08E-22
   1962.50  1.15E-22
   1962.60  4.24E-23
   1962.70  8.37E-23
   1962.80  8.24E-23
   1962.90  2.63E-23
   1963.00  1.80E-23
   1963.10  2.14E-23
   1963.20  2.14E-23
   1963.30  4.54E-23
   1963.40  1.35E-22
   1963.50  9.95E-23
   1963.60  2.91E-23
   1963.70  2.12E-23
   1963.80  1.75E-23
   1963.90  2.78E-23
   1964.00  2.69E-23
   1964.10  1.93E-23
   1964.20  2.05E-23
   1964.30  1.96E-23
   1964.40  1.88E-23
   1964.50  3.10E-23
   1964.60  8.99E-23
   1964.70  9.60E-23
   1964.80  2.29E-23
   1964.90  2.89E-23
   1965.00  4.01E-23
   1965.10  2.46E-23
   1965.20  2.27E-23
   1965.30  3.28E-23
   1965.40  6.27E-23
   1965.50  2.46E-23
   1965.60  1.49E-23
   1965.70  2.08E-23
   1965.80  2.16E-23
   1965.90  2.67E-23
   1966.00  6.58E-23
   1966.10  7.85E-23
   1966.20  3.95E-23
   1966.30  1.74E-23
   1966.40  1.33E-23
   1966.50  1.48E-23
   1966.60  1.65E-23
   1966.70  1.70E-23
   1966.80  1.79E-23
   1966.90  1.79E-23
   1967.00  1.47E-23
   1967.10  1.82E-23
   1967.20  1.49E-23
   1967.30  2.02E-23
   1967.40  1.81E-23
   1967.50  2.00E-23
   1967.60  3.34E-23
   1967.70  5.87E-23
   1967.80  6.47E-23
   1967.90  2.79E-23
   1968.00  1.83E-23
   1968.10  2.16E-23
   1968.20  2.80E-23
   1968.30  2.29E-23
   1968.40  1.72E-23
   1968.50  1.26E-23
   1968.60  9.48E-24
   1968.70  1.15E-23
   1968.80  1.18E-23
   1968.90  1.47E-23
   1969.00  1.42E-23
   1969.10  1.23E-23
   1969.20  1.91E-23
   1969.30  1.93E-23
   1969.40  2.02E-23
   1969.50  3.38E-23
   1969.60  3.19E-23
   1969.70  2.95E-23
   1969.80  1.34E-23
   1969.90  1.36E-23
   1970.00  1.67E-23
   1970.10  1.48E-23
   1970.20  1.40E-23
   1970.30  1.51E-23
   1970.40  1.55E-23
   1970.50  1.61E-23
   1970.60  1.84E-23
   1970.70  1.63E-23
   1970.80  1.52E-23
   1970.90  1.66E-23
   1971.00  1.67E-23
   1971.10  1.52E-23
   1971.20  1.48E-23
   1971.30  2.34E-23
   1971.40  1.68E-23
   1971.50  1.22E-23
   1971.60  2.32E-23
   1971.70  2.87E-23
   1971.80  3.73E-23
   1971.90  1.44E-22
   1972.00  3.26E-22
   1972.10  1.07E-22
   1972.20  2.89E-23
   1972.30  1.47E-22
   1972.40  3.51E-22
   1972.50  1.40E-22
   1972.60  2.17E-23
   1972.70  1.61E-23
   1972.80  3.80E-23
   1972.90  4.04E-22
   1973.00  2.71E-22
   1973.10  9.59E-23
   1973.20  1.60E-23
   1973.30  1.43E-23
   1973.40  1.43E-23
   1973.50  1.72E-23
   1973.60  2.92E-22
   1973.70  1.39E-22
   1973.80  3.50E-22
   1973.90  3.93E-23
   1974.00  2.59E-23
   1974.10  1.60E-23
   1974.20  1.26E-23
   1974.30  1.37E-23
   1974.40  1.25E-23
   1974.50  6.04E-23
   1974.60  3.39E-22
   1974.70  4.23E-23
   1974.80  3.62E-22
   1974.90  3.18E-23
   1975.00  1.69E-23
   1975.10  1.27E-23
   1975.20  1.43E-23
   1975.30  1.16E-23
   1975.40  1.35E-23
   1975.50  1.49E-23
   1975.60  1.95E-23
   1975.70  2.28E-22
   1975.80  7.87E-23
   1975.90  4.36E-23
   1976.00  3.42E-22
   1976.10  2.38E-23
   1976.20  1.14E-23
   1976.30  1.25E-23
   1976.40  1.66E-23
   1976.50  1.79E-23
   1976.60  1.61E-23
   1976.70  1.26E-23
   1976.80  1.48E-23
   1976.90  1.45E-23
   1977.00  3.24E-23
   1977.10  2.11E-22
   1977.20  1.79E-23
   1977.30  4.83E-23
   1977.40  2.48E-22
   1977.50  1.65E-23
   1977.60  1.22E-23
   1977.70  1.21E-23
   1977.80  1.18E-23
   1977.90  1.36E-23
   1978.00  1.15E-23
   1978.10  1.57E-23
   1978.20  1.15E-23
   1978.30  1.11E-23
   1978.40  1.26E-23
   1978.50  1.13E-23
   1978.60  7.26E-23
   1978.70  1.11E-22
   1978.80  1.39E-23
   1978.90  4.18E-23
   1979.00  2.28E-22
   1979.10  1.97E-23
   1979.20  1.40E-23
   1979.30  1.41E-23
   1979.40  1.38E-23
   1979.50  1.24E-23
   1979.60  1.15E-23
   1979.70  1.09E-23
   1979.80  1.20E-23
   1979.90  7.85E-24
   1980.00  1.08E-23
   1980.10  8.25E-24
   1980.20  1.07E-23
   1980.30  1.51E-23
   1980.40  1.03E-22
   1980.50  2.54E-23
   1980.60  1.29E-23
   1980.70  2.24E-23
   1980.80  1.55E-22
   1980.90  1.63E-23
   1981.00  1.28E-23
   1981.10  9.73E-24
   1981.20  9.93E-24
   1981.30  1.10E-23
   1981.40  1.07E-23
   1981.50  1.15E-23
   1981.60  9.08E-24
   1981.70  8.44E-24
   1981.80  1.19E-23
   1981.90  9.20E-24
   1982.00  1.16E-23
   1982.10  1.20E-23
   1982.20  1.52E-23
   1982.30  1.78E-23
   1982.40  6.94E-23
   1982.50  1.30E-23
   1982.60  1.04E-23
   1982.70  1.56E-23
   1982.80  1.02E-22
   1982.90  2.68E-23
   1983.00  1.02E-23
   1983.10  1.50E-23
   1983.20  7.72E-24
   1983.30  1.32E-23
   1983.40  1.47E-23
   1983.50  2.36E-23
   1983.60  2.56E-23
   1983.70  3.29E-23
   1983.80  1.85E-23
   1983.90  1.96E-23
   1984.00  3.60E-23
   1984.10  4.64E-23
   1984.20  2.28E-23
   1984.30  1.50E-23
   1984.40  1.64E-23
   1984.50  2.62E-23
   1984.60  7.49E-23
   1984.70  4.33E-23
   1984.80  1.99E-23
   1984.90  1.69E-23
   1985.00  4.26E-23
   1985.10  5.76E-23
   1985.20  1.47E-23
   1985.30  2.64E-23
   1985.40  4.60E-23
   1985.50  4.75E-23
   1985.60  2.42E-23
   1985.70  1.57E-23
   1985.80  1.13E-23
   1985.90  1.14E-23
   1986.00  9.79E-24
   1986.10  1.65E-23
   1986.20  1.53E-23
   1986.30  2.05E-23
   1986.40  3.27E-23
   1986.50  4.00E-23
   1986.60  2.48E-23
   1986.70  1.60E-23
   1986.80  1.77E-23
   1986.90  1.67E-23
   1987.00  2.97E-23
   1987.10  1.66E-23
   1987.20  1.29E-23
   1987.30  1.41E-23
   1987.40  2.07E-23
   1987.50  5.61E-23
   1987.60  3.31E-23
   1987.70  3.18E-23
   1987.80  3.28E-23
   1987.90  1.36E-23
   1988.00  1.40E-23
   1988.10  1.40E-23
   1988.20  1.22E-23
   1988.30  1.40E-23
   1988.40  1.17E-23
   1988.50  1.12E-23
   1988.60  1.31E-23
   1988.70  1.29E-23
   1988.80  1.77E-23
   1988.90  1.87E-23
   1989.00  1.93E-23
   1989.10  2.22E-23
   1989.20  2.86E-23
   1989.30  1.56E-23
   1989.40  1.50E-23
   1989.50  1.73E-23
   1989.60  1.99E-23
   1989.70  1.54E-23
   1989.80  1.18E-23
   1989.90  1.26E-23
   1990.00  1.32E-23
   1990.10  2.06E-23
   1990.20  1.95E-23
   1990.30  1.07E-23
   1990.40  1.11E-23
   1990.50  2.10E-23
   1990.60  2.28E-23
   1990.70  1.81E-23
   1990.80  2.28E-23
   1990.90  1.88E-23
   1991.00  1.18E-23
   1991.10  1.66E-23
   1991.20  1.09E-23
   1991.30  1.30E-23
   1991.40  1.36E-23
   1991.50  1.13E-23
   1991.60  1.12E-23
   1991.70  1.33E-23
   1991.80  1.55E-23
   1991.90  1.47E-23
   1992.00  1.23E-23
   1992.10  1.66E-23
   1992.20  1.28E-23
   1992.30  1.58E-23
   1992.40  1.70E-23
   1992.50  1.80E-23
   1992.60  2.14E-23
   1992.70  1.98E-23
   1992.80  1.72E-23
   1992.90  1.48E-23
   1993.00  1.73E-23
   1993.10  1.40E-23
   1993.20  1.33E-23
   1993.30  1.51E-23
   1993.40  1.52E-23
   1993.50  1.10E-23
   1993.60  1.26E-23
   1993.70  1.37E-23
   1993.80  1.44E-23
   1993.90  1.31E-23
   1994.00  1.37E-23
   1994.10  9.43E-24
   1994.20  1.22E-23
   1994.30  1.26E-23
   1994.40  1.35E-23
   1994.50  1.47E-23
   1994.60  1.26E-23
   1994.70  1.54E-23
   1994.80  1.24E-23
   1994.90  1.46E-23
   1995.00  1.38E-23
   1995.10  1.25E-23
   1995.20  1.22E-23
   1995.30  1.06E-23
   1995.40  1.20E-23
   1995.50  8.22E-24
   1995.60  1.60E-23
   1995.70  1.00E-23
   1995.80  1.37E-23
   1995.90  1.10E-23
   1996.00  1.49E-23
   1996.10  1.11E-23
   1996.20  1.27E-23
   1996.30  1.44E-23
   1996.40  1.26E-23
   1996.50  1.27E-23
   1996.60  1.40E-23
   1996.70  1.14E-23
   1996.80  1.20E-23
   1996.90  1.32E-23
   1997.00  1.18E-23
   1997.10  1.51E-23
   1997.20  1.16E-23
   1997.30  9.47E-24
   1997.40  1.41E-23
   1997.50  1.23E-23
   1997.60  1.18E-23
   1997.70  1.40E-23
   1997.80  1.17E-23
   1997.90  1.75E-23
   1998.00  1.51E-23
   1998.10  2.53E-23
   1998.20  5.33E-23
   1998.30  2.24E-23
   1998.40  1.44E-23
   1998.50  3.36E-23
   1998.60  5.08E-23
   1998.70  3.52E-23
   1998.80  1.50E-23
   1998.90  1.27E-23
   1999.00  1.67E-23
   1999.10  6.88E-23
   1999.20  4.20E-23
   1999.30  3.29E-23
   1999.40  1.27E-23
   1999.50  1.53E-23
   1999.60  1.44E-23
   1999.70  1.46E-23
   1999.80  6.97E-23
   1999.90  2.54E-23
   2000.00  3.67E-23
   2000.10  4.17E-23
   2000.20  1.27E-23
   2000.30  1.31E-23
   2000.40  1.39E-23
   2000.50  1.26E-23
   2000.60  1.60E-23
   2000.70  2.31E-23
   2000.80  5.87E-23
   2000.90  1.47E-23
   2001.00  3.62E-23
   2001.10  4.96E-23
   2001.20  1.29E-23
   2001.30  1.21E-23
   2001.40  1.43E-23
   2001.50  1.31E-23
   2001.60  1.21E-23
   2001.70  1.20E-23
   2001.80  1.27E-23
   2001.90  4.80E-23
   2002.00  2.12E-23
   2002.10  1.17E-23
   2002.20  4.41E-23
   2002.30  3.57E-23
   2002.40  1.29E-23
   2002.50  1.29E-23
   2002.60  8.92E-24
   2002.70  1.34E-23
   2002.80  1.15E-23
   2002.90  1.69E-23
   2003.00  1.85E-23
   2003.10  1.61E-23
   2003.20  2.18E-23
   2003.30  3.45E-23
   2003.40  1.51E-23
   2003.50  9.72E-24
   2003.60  3.38E-23
   2003.70  2.70E-23
   2003.80  1.37E-23
   2003.90  1.20E-23
   2004.00  1.58E-23
   2004.10  1.23E-23
   2004.20  1.03E-23
   2004.30  1.11E-23
   2004.40  6.38E-24
   2004.50  9.38E-24
   2004.60  6.28E-24
   2004.70  8.43E-24
   2004.80  1.82E-23
   2004.90  1.75E-23
   2005.00  1.11E-23
   2005.10  6.10E-24
   2005.20  1.27E-23
   2005.30  2.93E-23
   2005.40  7.24E-24
   2005.50  7.27E-24
   2005.60  9.61E-24
   2005.70  8.91E-24
   2005.80  9.17E-24
   2005.90  9.36E-24
   2006.00  6.90E-24
   2006.10  1.03E-23
   2006.20  8.14E-24
   2006.30  1.10E-23
   2006.40  1.29E-23
   2006.50  9.30E-24
   2006.60  1.06E-23
   2006.70  1.33E-23
   2006.80  1.08E-23
   2006.90  7.31E-24
   2007.00  9.51E-24
   2007.10  1.66E-23
   2007.20  1.47E-23
   2007.30  7.74E-24
   2007.40  9.10E-24
   2007.50  6.05E-24
   2007.60  8.24E-24
   2007.70  9.15E-24
   2007.80  8.31E-24
   2007.90  8.65E-24
   2008.00  1.59E-23
   2008.10  9.20E-24
   2008.20  1.21E-23
   2008.30  1.57E-23
   2008.40  1.54E-23
   2008.50  1.18E-23
   2008.60  1.34E-23
   2008.70  1.98E-23
   2008.80  1.28E-23
   2008.90  8.73E-24
   2009.00  1.05E-23
   2009.10  1.11E-23
   2009.20  2.19E-23
   2009.30  1.98E-23
